species_common_name,species_scientific_name,species_abbreviation,lat,count
Royal / Wandering albatross,Diomedea epomophora ,DIOEPOSANANTEXU,-45.916666666666664,6
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-45.916666666666664,2
Cape petrel,Daption capense,DAPCAP,-45.916666666666664,8
Fairy prion,Pachyptila turtur,PACTUR,-45.916666666666664,2
Sooty shearwater,Puffinus griseus,PUFGRI,-45.916666666666664,4
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-35.53333333333333,10
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-35.53333333333333,2
Sooty shearwater,Puffinus griseus,PUFGRI,-35.53333333333333,18
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-37.666666666666664,10
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-37.666666666666664,2
Cape petrel,Daption capense,DAPCAP,-37.666666666666664,2
Prion ,Pachyptila sp,PACSP,-37.666666666666664,2
Sooty shearwater,Puffinus griseus,PUFGRI,-37.666666666666664,8
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-40,14
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-40,4
Giant petrel ,Macronectes sp.,MACSP,-40,3
Cape petrel,Daption capense,DAPCAP,-40,8
Fairy prion,Pachyptila turtur,PACTUR,-40,18
Fairy prion,Pachyptila turtur,PACTUR,-36.166666666666664,6
Black petrel,Procellaria parkinsoni,PROPAR,-36.166666666666664,55
Australasian gannet,Morus serrator,MORSER,-36.166666666666664,12
Wilson's storm petrel,Oceanites oceanicus,OCEOCE,-35.416666666666664,22
Australasian gannet,Morus serrator,MORSER,-35.416666666666664,7
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35.25,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35.25,2
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-35.25,3
Northern giant petrel,Macronectes halli,MACHAL,-35.25,3
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-35.25,1
Sooty shearwater,Puffinus griseus,PUFGRI,-35.25,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35.3,4
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-35.3,2
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-35.3,3
Northern giant petrel,Macronectes halli,MACHAL,-35.3,1
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-35.3,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-36.5,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-36.5,4
Northern royal albatross ,Diomedea sanfordi ,DIOSAN,-36.5,2
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-36.5,4
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-36.5,2
Petrel ,NA,PETRUN,-36.5,2
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-36.333333333333336,1
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-36.333333333333336,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.18333333333333,1
Sooty shearwater,Puffinus griseus,PUFGRI,-39.18333333333333,1
Australasian gannet,Morus serrator,MORSER,-39.18333333333333,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39.666666666666664,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.666666666666664,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.666666666666664,3
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-39.666666666666664,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39.666666666666664,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.666666666666664,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.666666666666664,3
White-chinned petrel,Procellaria aequinoctialis,PROAEQ,-39.666666666666664,6
Sooty shearwater,Puffinus griseus,PUFGRI,-39.666666666666664,48
Diving-petrel ,Pelecanoides sp.,PELSP,-39.666666666666664,1
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39.85,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.85,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.85,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-39.93333333333333,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-39.93333333333333,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-39.93333333333333,3
Wandering albatross ,Diomedea antipodensis ,DIOANTEXU,-40,3
Royal albatross ,Diomedea epomophora ,DIOEPOSAN,-40,2
Black-browed albatross ,Diomedea impavida ,DIOIMPMEL,-40,3
Diving-petrel ,Pelecanoides sp.,PELSP,-40,2
